205,205 LTR FREEZER VOLTAS GT-TRADI         ,          ,          ,
205LTR         ,205 LTR FREEZER VOLTASHT-TRAD           ,          ,          ,
205LTRGT       ,205 LTRGLASS TOP-VOLTAS                 ,          ,          ,
21CBR          ,STICK 2IN 1 MINI CHOCOBAR(U)-10PCS      ,76.11,          ,
225G           ,FREEZER WHF 225G WESTERN                ,          ,          ,
225LTR         ,FREEZER 225 LTR HT WESTERN              ,          ,          ,
2TPV           ,IC-2LTR TRUFF PACK VANILA(UNCJO)        ,          ,          ,
300/325 LDH    ,300/325 ltr dd hardtop ot               ,          ,8418,
300/325LDH     ,300/325 ltr dd hardtop ot               ,          ,8418,
300/330        ,300/330ltr hardtop-t                    ,          ,8418,
300CS          ,FR 300LTR CURVED.SLIDING GT BT-T        ,          ,          ,
300LCS         ,FR 300LTR CURVED.SLIDING GT-BL-T        ,          ,          ,
300LDH         ,300 LTR DD HARDTOP-T                    ,          ,8418,
300LFG         ,300 ltr flat glasstop-t                 ,          ,8418,
300LTR         ,300 LTR B.STAR  FREEZER GT-TRAD         ,          ,          ,
300LTR2D       ,300 LTR FR- 2 DOOR LT-HT-TRADI          ,          ,          ,
300LTRCG       ,300 LTR CURVED GLASSTOP-T               ,          ,          ,
300LTRCS       ,FR 300LTR CURV.SLDING GT-BL-T           ,          ,          ,
300LTRGV       ,300LTR FREEZER GT VOLTAS-TRAD           ,          ,          ,
300LTRH        ,300LTR B-STAR HT FREEZER TRAD           ,          ,          ,
300LTRW        ,300LTR WESTERN FREE. HT-TRADI           ,          ,          ,
320LTR         ,320 VOLTAS FR.HARD TOP-TRADIN           ,          ,          ,
320LTRGT       ,320 VOL GLASS TOP FREEZER-TRAD          ,          ,          ,
325L2W         ,FREEZER 325LHTOP 2DOOR WESTERN          ,          ,          ,
360LTR         ,WESTERN CURVED HL.TOP 360-TRAD          ,          ,          ,
400CGV         ,FREEZER 400L CURVED GT-VOLTAS           ,          ,          ,
400LCG         ,400 LTR CURVED GLASSTOP-T               ,          ,84183010,
400LCGV        ,FREEZER 400L CURVED GT-VOLTAS           ,          ,          ,
400LFGT        ,400 LTR FLAT GLASSTOP-T                 ,          ,8418,
400LHT         ,400 ltr hardtop-t                       ,          ,84183010,
400LTR         ,400LTR GLASS TOP FR.VOLTAS-TR           ,          ,          ,
400LTRG        ,400 LTR GLASSTOP FR.VOLT AS-TR          ,          ,          ,
400LTRGT       ,400LTR GLASS TOP FR.VOLTAS-TR           ,          ,          ,
400LTRGTW      ,400LTR GT FREEZER WESTERN-TRA           ,          ,          ,
400LTRHTW      ,400LTR HT FREEZER WESTERN-TRA           ,          ,          ,
405LTRCT       ,405LTR CUR.G.TOP MP LOTEMP-TR           ,          ,          ,
425LTR         ,425 LTR B.STAR FREEZER GT-TRAD          ,          ,          ,
425LTRW        ,FREEZER 425LTR WESTERN-TRADING          ,          ,          ,
425W           ,FREEZER 425 LT WESTERN-TRADING          ,          ,          ,
800LHT         ,800 LTR HARD TOP -T                     ,          ,8418,
AB             ,STIC AMERICAN BAR(LAZZA)                ,          ,          ,
ABL            ,STICK  AMERIKAN BAR (LAZZA)             ,          ,          ,
AGV            ,FD-AG VANILA-Y#                         ,          ,21050000,
AV             ,FD-AG VANILA-Y                          ,210,21050000,
AVL            ,FD- AMGAPK VANILA (LAZZA)               ,          ,          ,
B              ,Fd-ball 80ml vanila-y# (12 pcs )        ,120,21050000,
B15            ,Ball 100ml vanila red tr-u 12pcs        ,180,21050000,
BALS           ,FD-BALL(SKEI)                           ,66.94,          ,
BALZ           ,FD-BALL(LAZZA)                          ,120,          ,
BCS            ,FD-BC STRAWBERRY-U 18 PCS               ,          ,          ,
BCV            ,BC VANILA(UNCJO)-18PCS                  ,          ,21050000,
BCVL           ,BC VANILATR-L (18 PCS)                  ,          ,21050000,
BEEDING        ,MAGNETIC BEEDING                        ,          ,          ,
BK             ,St bowring  kulfi-y# (12 pcs)           ,          ,21050000,
BK BLACK       ,FD-BKBLACK CURRENT (UNCJO)              ,175.82,          ,
BK PINE        ,FD-BK PINEAPPLE (UNCJO)                 ,0,          ,
BKB            ,Fd bk but.scotch caramel-u              ,415,21050000,
BKBC           ,Fd-bkblack current (uncjo)              ,490,          ,
BKBCL          ,Fd-bk  black currant (lazza)            ,0,21050000,
BKBCS          ,Fd-bk black currant-s#                  ,0,21050000,
BKBL           ,BK BUTTERSCOTCH CARA.(LAZZA)            ,          ,21050000,
BKBLB          ,BK BLUBERRY NFL TR-S                    ,          ,          ,
BKBLS          ,FD-BK BLACK CURRANT(SKEI)               ,0,          ,
BKBLU          ,Bk blueberry nfl tr-u                   ,          ,21050000,
BKBLUL         ,Bk blueberry nfl tr-l                   ,          ,21050000,
BKBLUS         ,Bk blueberry nfl tr-s                   ,          ,21050000,
BKBPL          ,FD-BK BUTTERSCOTCH PLAIN(LAZZA)         ,          ,          ,
BKBPS          ,FD-BK BUT.SCOTCH PLAIN-S                ,0,21050000,
BKBS           ,Fd-bk but.scotch caramel -s             ,0,21050000,
BKC            ,Fd-bk chocolate -u#                     ,490,21050000,
BKCF           ,Fd-bk coffee-u#                         ,          ,21050000,
BKCFL          ,BK COFFEE(LAZZA)                        ,          ,          ,
BKCFS          ,Fd-bk coffee-s#                         ,          ,21050000,
BKCL           ,BK CHOCOLATE(LAZZA)                     ,          ,21050000,
BKCRL          ,FD BK CHOCOLATE RIPPLE (LAZZA)          ,          ,          ,
BKCS           ,Fd-bk chocolate-s                       ,0,21050000,
BKD            ,BK-DELETE                               ,          ,          ,
BKDS           ,FD-BK SPANISH DELITE(SKEI)              ,          ,          ,
BKED           ,Fd-bk english delite-s                  ,0,21050000,
BKFH           ,Fd- bk fig and honey-u                  ,          ,21050000,
bkfhl          ,Fd-bk fig and honey -l#                 ,          ,21050000,
BKFHS          ,Bk fig and honey-s                      ,0,21050000,
BKIDL          ,Fd-bk  italian delete-l#                ,          ,21050000,
BKJF           ,Bk jack frit tr u                       ,          ,21050000,
BKJFL          ,Bk jack frit tr -l#                     ,          ,21050000,
BKJFS          ,Bk jack frit tr S                       ,          ,21050000,
BKK            ,Fd-bk kulfi-u#                          ,          ,21050000,
BKKL           ,Fd bk  kulfi-l#                         ,          ,21050000,
BKKP           ,BK KESAR PISTA(UNCJO)                   ,          ,          ,
BKKPS          ,BK KESAR PISTA-S#                       ,          ,21050000,
BKKS           ,Fd-bk kulfi-s#                          ,          ,21050000,
BKL            ,Fd-bk kulfi-l#                          ,          ,21050000,
BKM            ,Fd-bk mango-u#                          ,360,21050000,
BKML           ,Bk mango (lazza)                        ,          ,21050000,
BKMS           ,Fd-bk mango-s#                          ,138.59,21050000,
BKNB           ,FD-BK NUT BUTTERSCOTCH                  ,          ,          ,
BKO            ,Bk-orange                               ,118.43,21050000,
BKOL           ,BK ORANGE(LAZZA)                        ,          ,21050000,
BKOS           ,Fd -bk orange - s                       ,123.59,21050000,
BKP            ,Fd-bk pista green- u#                   ,415,21050000,
BKPA           ,Fd - bk payasam-u                       ,          ,21050000,
BKPAL          ,FD-BK PAYASAM(LAZZA)                    ,          ,          ,
BKPAS          ,BK PAYASAM(SKEI)                        ,          ,          ,
BKPG           ,BK. PISTAGREEN(UJ)                      ,          ,          ,
BKPI           ,Bk pineapple(uncjo)                     ,132.38,21050000,
BKPIL          ,BK PINEAPPLE(LAZZA)                     ,          ,21050000,
BKPIS          ,FD-BK PINEAPPLE (SKEI)                  ,          ,21050000,
BKPL           ,Fd-bk  pistagreen-l#                    ,          ,21050000,
BKPP           ,BK PISTACHIO(UNCJO)                     ,          ,          ,
BKPS           ,Fd-bk pista green-s#                    ,0,21050000,
BKS            ,Fd-bk strawbery-u#                      ,360,21050000,
BKSD           ,Fd-bk spanish delite-u#                 ,540,21050000,
BKSDS          ,BK SPANISH DELETE(SKEI)                 ,          ,          ,
BKSG           ,BK STRAWBERRY( GALA)                    ,98.48,          ,
BKSL           ,BK STRAWBERRY(LAZZA)                    ,0,21050000,
BKSP           ,BK SPANISH DELETE                       ,          ,          ,
BKSRL          ,FD-BK STRAWBERRY RIPPLE(LAZZA)          ,          ,          ,
BKSS           ,Fd-bk strwberry -s#                     ,0,21050000,
BKTC           ,Bk tender coco.nfl tr-u                 ,830,21050000,
BKTCL          ,Bk tender coco.nfl tr-l                 ,0,21050000,
BKTCS          ,Bk tender coco.nfl tr-l                 ,          ,21050000,
BKV            ,Fd-bk vanila (uncjo)                    ,          ,21050000,
BKVL           ,Fd-bk vanilla-l#                        ,          ,21050000,
BKVS           ,Bk vanila-s#                            ,0,21050000,
BOX            ,INSULATED BOX BIG                       ,          ,          ,
BPB            ,BP BUTTERSCOTCH CARAME(UNCJO)-18PCS     ,          ,          ,
BPFH           ,BP FIG&HONEY                            ,163.89,          ,
BPP            ,BP PISTAGREEN (UNCJO-18 PCS)            ,          ,          ,
BPS            ,BP STRAWBERRY(UNCJO)-18                 ,          ,          ,
BPSD           ,BP SPANISH DELETE (uncjo)               ,          ,          ,
BPV            ,FD-BP VANILA (UNCJO)                    ,91.66,          ,
BPVL           ,BP VANILA(LAZZA)                        ,          ,          ,
BPVS           ,BP VANILA(SKEI)                         ,91.88,          ,
C              ,FD-COMPAC CAR. BUTTERSCOTCH             ,0,          ,
CAPRI          ,IC-CAPRI 150ML BUTTERSCOTCH (LAZ)-12 PCS,          ,          ,
CB             ,NO 125ML CHOCO BANAN 1+1 TR-L (12 PCS)  ,0,21050000,
CBL            ,IC- CAPRI-150ML BUTTERSCOTCH ((LAZZA) 12,220,          ,
CBP            ,Ic-st chocobar  big pou 14 nos-u(14 pcs),280,21050000,
CBP5           ,CHOCSTICK POU 50ML-U-18 PCS             ,          ,          ,
CBPL           ,IC-ST CHOCOBAR BIGPOUCH-14 L            ,220,21050000,
CBPS           ,IC-ST CGOCOBAR BIG POUCH 14 NOS -S-14PCS,          ,21050000,
CBR            ,IC-STICK CHOCSTICK (UNCJO)              ,210,          ,
CBR31          ,IC CHOCOBAR 3 IN 1(UNCJO) -3 PCS        ,          ,          ,
CBRL           ,STICK CHOCSTICK(LAZZA)                  ,116.01,          ,
CBRP           ,IC-CHOCOSTIC IN POUCH(UNCJO)-18pcs      ,125.21,          ,
CBRPS          ,IC-CHOCOSTICK IN POUCH-18pcs            ,125.21,          ,
CBRS           ,STICK CHOCSTICK(SKEI)                   ,0,          ,
cc             ,CASHEW CHIKKI                           ,          ,          ,
CCB            ,CONE CAPRI BL.CURNT 150ML TR-L- 12 PCS  ,          ,          ,
CCL            ,IC-CAPRI 120ML CHOCOLATE-L 12 PCS       ,          ,          ,
CDC            ,Fd-ca  cassata deluxe con -u#(10 pcs)   ,          ,21050000,
CDCL           ,Fd-ca cassata deluxe con -l (10 pcs)    ,280.71,21050000,
CDCS           ,FD-NO CASSATTA DELUXE CON -U-10 PCS     ,280,          ,
CECS           ,IC-ENGLISH CHOCOLATE-S 12PCS            ,          ,          ,
CG             ,CANDY FR.GRAPE(UNCJO)                   ,25.35,          ,
CGL            ,ICE CANDY FR. GRAPE(LAZZA)              ,0,          ,
CGS            ,ICE CANDY UNFR. GRAPE(SKEI)             ,25.09,          ,
CHC            ,FD-NO-CASSATA TF HALF CIRCLE-U#-18PCS   ,          ,          ,
CLP            ,IC-CON LAZZANO PISTA-L 12PCS            ,          ,          ,
CMCL           ,ST-CHOCOBAR MINI CHRIPSY TR-L (19 PCS)  ,          ,21050000,
CMO            ,IC-CONE MARASHINO ORANGE-U-12PCS        ,0,          ,
CMP            ,IC-CONEMARASHINO PISTA-U-12PCS          ,0,          ,
CNS            ,IC-CONTOP 150ML NAT.STRAWBERRY-U 12PCS  ,          ,          ,
CNSL           ,IC-CAPRI 150ML NAT.STRAWBERY-L-12PCS    ,          ,          ,
CO             ,IC-ICE CANDY ORANGE                     ,25.09,          ,
COCL           ,NO CAPRI-CHOCOLATE(LAZZA)               ,          ,          ,
COM            ,Fd-compac car butterscotch-(15 pcs)     ,300,21050000,
COML           ,COMPAC ITALIAN DELIGHT (LAZZA)          ,0,          ,
COMP           ,COMPRESSOR THK 1340                     ,          ,          ,
COMS           ,COMPAC CARAMEL BUTERSCOTCH(SKEI)        ,          ,          ,
COMSD          ,COMPAC SPANISH DELIGHT(UNCJO)           ,          ,          ,
CON            ,Ic-cone top  but.scotch u-(12 pcs)      ,0,21050000,
CONC           ,Ic-no cone top chocolate-u (12 pcs)     ,0,21050000,
CONCL          ,NO CAPRI-CHOCOLATE(LAZZA)               ,          ,21050000,
CONCO          ,NO CONTOP CHOCOLATE(UNCJO)              ,          ,          ,
COND           ,CONE CAPRI 120ML  ITA.DEL TR-L (12 PCS) ,0,21050000,
CONECS         ,CONE ENGLISH CHOCOLATE-S 12PCS          ,          ,          ,
CONFH          ,"IC-CONE CAP 120ML FIG N"" HONEY-L (12 PCS",0,21050000,
CONL           ,Ic-cone capri but.scotch-l (12 pcs)     ,          ,21050000,
CONNS          ,Ic-cone top  NAT.STRAW- u-(12 pcs)      ,          ,21050000,
CONNSL         ,Ic-cone top  NAT.STRAW- L-(12 pcs)      ,          ,21050000,
CONS           ,IC-CON ENGLISH  BUT.SCOTCH-S (12PCS)    ,210,21050000,
CONV           ,IC-NO CONTOT VANILA-UNCJO-20PCS         ,          ,          ,
COU            ,CANDY UNFR.ORANGE                       ,19.85,          ,
CPL            ,ICE CANDY PINE APPLE(LAZZA)             ,25.35,          ,
CPPL           ,ICE CANDY PINE APPLE(LAZZA)             ,25.09,          ,
CPU            ,ic-st chocstick pou 50ml-u (18)         ,          ,21050000,
CSC            ,CASSATTA SLICE IN CARTON(125ML          ,          ,          ,
CSH            ,CA CASSATTA SWEET HEART TR U-10 PCS     ,          ,          ,
CSP            ,IC-CONE SKIANO PISTA-S-12PCS            ,          ,          ,
CSR            ,Ca cassatta slice ro.con. tr-u # ( 10 pc,          ,21050000,
CTF            ,FD-CA CASSATA TWI FLY.CAR-U - 24 PCS    ,360,          ,
CTFC           ,Ca cassata  twin flv.car tr-y#(24pcs)   ,          ,21050000,
CTS            ,IC-CONE TOP NAT.STRAW-U-12 PCS          ,          ,          ,
CURLS          ,FD-CURLS 125 ML (UNCJO)-10PCS           ,150,          ,
CV             ,IC-NO CONTOT VANILA-UNCJO-20PCS         ,          ,          ,
CWC            ,CASSATTA SLICE IN CARTON(125ML          ,          ,          ,
D              ,DX CASSATTA (UNCJO)                     ,114.28,          ,
DA             ,IC-DUET APPLE(UNCJO)                    ,          ,          ,
DAL            ,IC-DUBLE APPLE(LAZZA)                   ,          ,          ,
DAS            ,IC-DUBLE APPLE(SKEI)                    ,          ,          ,
DCNCL          ,DEL CASSATA N CONTAINER-L               ,          ,          ,
DF             ,IC-DELUX FUNDAE (UNCJO)-10PCS           ,          ,          ,
DFC            ,NO DEL. FUNDAECHOCOLATETR-L -6 PCS      ,          ,          ,
DFCL           ,NO DEL.FUNDAE CHOCOLATE TR-L 6 PCS      ,          ,          ,
DFL            ,DELUXE FUNDAE-(LAZZA)                   ,          ,          ,
DFPS           ,NO DEL.FUNDAE PISTA TR-S -6PCS          ,120,          ,
DFS            ,NO DEL. FUNDAE STRAWBERRY TR-L -6 PCS   ,120,          ,
DGA            ,IC-DUBLE GREEN APPLE-(UNCJO)-18PCS      ,          ,          ,
DGAL           ,IC-DUBLE GREEN APPLE-(LAZZA)-18PCS      ,          ,          ,
DGAP           ,Ic-st du  green apple pou 75ml-u (14pcs),280,21050000,
DGAPL          ,IC-DUBLE GREEN APPLE POU 75ML-(L)-14PCS ,          ,21050000,
DL             ,DELEX CASSARTTA(LAZZA)                  ,          ,          ,
DM             ,DUET MANGO(UNCJO)                       ,210,          ,
DML            ,DUBLE MANGO (LAZZA)                     ,120.09,          ,
DMM            ,Ic-st du mango munch pou -u (14 pcs)    ,280,21050000,
DMML           ,Ic-st du magnum mango pouch-l (14 pcs)  ,          ,21050000,
DMP            ,DUBLE MANGO IN POUCH(UNCJO)-18          ,210,          ,
DMPL           ,DUBLE MANGO IN POUCH(LAZZA)             ,          ,          ,
DMPS           ,DUBLE MANGO IN POUCH(SKEI)-15PCS        ,          ,          ,
DMS            ,DUBLE MANGO(SKEI)                       ,          ,          ,
DP             ,DUBLE PINEAPPLE-18                      ,210,          ,
DPL            ,DUBLE PINEAPPLE(LAZZA)-18               ,          ,          ,
DR             ,Ic-st du  raspberry pou 75ml-u (14pcs)  ,280,21050000,
DRL            ,IC-ST DU RASPBERRYPOU  75ML-L (14PCS)   ,          ,21050000,
DRP            ,IC-ST DU RASBERRY POUCH 50ML-U-18 PCS   ,          ,          ,
DRS            ,IC-DUBLE RASPBERRY(SKEI)                ,          ,          ,
DS             ,DX CASSARTA(SKEI)                       ,          ,          ,
DSL            ,DRUM STICK (LAZZA)                      ,          ,          ,
DUB            ,IC-DUBLE (UNCJO-LAZZA)                  ,0,          ,
EC             ,ENGLISH CONE(SKEI)                      ,          ,          ,
ECC            ,IC-E.CON 120ML CHOCOLATE-S-12PCS        ,          ,          ,
EPSL           ,ECONOMIC PACK STRWBERRY(LAZZA)          ,          ,          ,
EPV            ,FD-ECONOMICPAC VANILA(UNCJO)            ,65.1,          ,
EPVL           ,FD-ECONOMI PACK (LAZZA)                 ,0,          ,
FCL            ,Ic-su fundae cocktail-l (10pcs )        ,200,21050000,
FCP            ,IC-SU FUNDAE CHOCO.PASSION-L (16 PCS)   ,          ,21050000,
FDC            ,Ic-su fundae deluxe  chocolate -u ( 6 pc,0,21050000,
FDCL           ,Ic-su  fundae  deluxe  chocolate tr-l( 6,          ,21050000,
FDCS           ,Ic-su fundae deluxe  chocolate -S ( 6 pc,          ,21050000,
FDM            ,Ic-su fundae deluxe mango-u ( 6 pcs)    ,150,21050000,
FDP            ,Ic-su fundae delux pistha-s (6 pcs)     ,0,21050000,
FDPS           ,Ic-su fundae delux  pis.str&pin-u (6 pcs,180,21050000,
FDPSL          ,Ic-su  fundae delux  pis.str & pin- l (6,          ,21050000,
FDPSS          ,IC-SU FUNDAE DELUX PISTA-S (6 PCS)      ,          ,21050000,
FDS            ,IC-NO FUNDAE DELUX STRABERRY-U-6PCS     ,          ,          ,
FDSL           ,Ic-su  fundae delux straberry-l-6pcs    ,0,21050000,
FF             ,FRUIT FUNDAE(UNCJO)                     ,270,21050000,
FFL            ,FRUIT FUNDAE(LAZZA)-6PCS                ,150,21050000,
FFS            ,FRUIT FUNDAE(SKEI)-5 PCS                ,          ,          ,
FL             ,FUNDAE 100ML(LAZZA)-15 PCS              ,          ,          ,
FP             ,Ic-sq fp strawbery -u                   ,90,21050000,
FPB            ,Ic-sq fp 500ml  but.scotch car-u        ,110,21050000,
FPBL           ,Ic-fp 500ml  but.scoth car-l            ,70,21050000,
FPBS           ,IC-SQ.FP500 BUTTERSCOTCH CARAM(S)       ,32.37,          ,
FPC            ,Ic-sqfp 500ml  chocolate-u              ,120,21050000,
FPCL           ,Ic-sq fp 500ml  chocolate -l            ,          ,21050000,
FPCP           ,FP CHOCOLATE PLUS(UNCJO)                ,          ,          ,
FPCS           ,IC-SQ.FP500 CHOCOLATE(S)                ,          ,          ,
FPFH           ,IC-FP FIG HONEY (UNCJO)                 ,          ,          ,
FPGS           ,FP GARDEN STRAWBERRY(UJ)                ,          ,          ,
FPJF           ,Sq fp 500ml jack frui nfl tr-u          ,180,21050000,
FPJFL          ,Sq fp 500ml jack frui nfl tr-l          ,          ,21050000,
FPJFS          ,SQ FP 500ML JACK FRUI NFL TR-S          ,          ,          ,
FPM            ,FAMILY PACK MANGO                       ,          ,          ,
FPMA           ,Sq.fp 500ml  man. alpho nfl   tr-u      ,          ,21050000,
FPMA10S        ,SQ FP 500ML MA.ALP .N (10+1) TR-S (11 PC,          ,21050000,
FPMAL          ,Sq.fp 500ml  man. alpho nfl   tr-l      ,          ,21050000,
FPMAS          ,Sq.fp 500ml  man. alpho nfl   tr-S      ,          ,21050000,
FPMN           ,Sq fp 500ml man.alpho nfl tr u          ,140,21050000,
FPNB           ,FP NUT BUTTERSCOTCH (UNCJO)             ,70,          ,
FPO            ,FP ORANGE(UNCJO)                        ,          ,          ,
FPP            ,Ic-sq fp 500ml  pista green- u          ,110,21050000,
FPPA           ,FP PAYASAM(UNCJO)                       ,          ,          ,
FPPL           ,Ic-sq fp 500ml  pistagreen-l            ,110,21050000,
FPS            ,Ic-sq fp strawbery -u                   ,90,21050000,
FPSL           ,Ic-sq fp 500ml strawberry(l)            ,50,21050000,
FPSP           ,Ic-sq.fp 500ml  strawberry plus -u      ,90,21050000,
FPSS           ,IC-SQ.FP500FSTRAWBERRY(S)               ,31.69,          ,
FPTC           ,Sq fp 500ml tend. coco nfl tr-u         ,180,21050000,
FPTC10         ,SQ FP 500ML TEN.CO.N (10+1) TR-U (11 PCS,          ,21050000,
FPTC10S        ,SQ FP 500ML TEN.CO.N (10+1) TR-S (11 PCS,          ,21050000,
FPTCL          ,Sq fp 500ml tend. coco nfl tr-l         ,          ,21050000,
FPTIL          ,Sq fp 500ml til natural tr u.           ,120,21050000,
FPTMA          ,SQ FP 500ML MAN.ALPHO NF TR U.          ,          ,          ,
FPV            ,Ic-sq-fp 500ml  vanila u                ,85,21050000,
FPVL           ,Ic-sq fp 500ml  vanila-l                ,55,21050000,
FPVS           ,FP VANILA(SKEI)                         ,28.56,          ,
FREEZE PAD     ,FREEZE PAD ORDINARY                     ,          ,          ,
FSD            ,IC-FUNDAE STRA. DESSERT MIST-L (16)     ,0,21050000,
FSP            ,FD-FUNDAE SWINGER PISTA-S# (16 PCS)     ,          ,21050000,
FTPG           ,TP GARDEN STAWBERRY                     ,          ,          ,
FZR400         ,FZR 400LTR HT B.STAR-TR                 ,          ,          ,
GAP            ,IC-ST DU GREEN APPLE POUCH 50ML-U-18 PCS,          ,          ,
GB             ,Ic-su  gud bud- u (6 pcs)               ,240,21050000,
GBL            ,IC-NO GUD BUD(LAZZA)                    ,          ,          ,
GBS            ,Ic-su gud bud- s(6 pcs)                 ,          ,21050000,
ICG            ,IC-ICE CANDY GRAPE                      ,25.09,          ,
ICGL           ,ICE CANDY GRAPE (LAZZA)                 ,25.09,          ,
ICGS           ,ICE CANDYGRAPE(SKEI)-25                 ,          ,          ,
ICO            ,IC-ICE CANDY ORANGE                     ,          ,          ,
ICO3           ,IN-ICE CANDY FR.ORANGE(UNCJO)-25 PCS    ,          ,          ,
ICOF           ,IN-IC FR. ORANGE-U-25 PCS               ,          ,          ,
ICOFL          ,IN-ICE CANDY FR.ORANGE(LAZZA)-25 PCS    ,          ,          ,
ICOFS          ,IC-ICE CANDY FR.ORANGE(SKEI)-25PCS      ,          ,          ,
ICOS           ,ICE CANDY ORANGE (SKEI)-25PCS           ,          ,          ,
ICP            ,IC-ICE CANDY PINEAPPLE                  ,          ,          ,
ICPL           ,ICE CANDY PINE APPLE(LAZZA)             ,          ,          ,
ICPS           ,ICE CANDY PINEAPPLE(S)                  ,          ,          ,
ICR            ,IN-ICECANDY FR.RASPBERRY(UNCJO) -25 PCS ,          ,          ,
IFG            ,IC-IC FR.GRAPE-U-25 PCS                 ,          ,          ,
IFGL           ,IC-IC FR.GRAPE-U-25 PCS                 ,          ,          ,
IFO            ,In-ic fr.orange-y( 25 pcs)              ,          ,21050000,
IFOL           ,IN-IC FR.ORANGE-L-25 PCS                ,          ,          ,
IFOS           ,IN-IC FR.ORANGE-S-25 PCS                ,          ,          ,
IFP            ,In-ic fr.pineapple-y-(25)               ,50,21050000,
